,file,count,avg duration,avg duration c0,avg duration c1,avg duration c2,avg duration c3,avg duration c4,count c0,count c1,count c2,count c3,count c4
0,33001_sessie1_taskrobotEngagement,34,3.155,nan,3.453,3.047,1.645,nan,0,16,16,2,0
1,33001_sessie2_taskrobotEngagement,67,5.152,nan,7.399,3.545,3.529,4.920,0,27,6,31,3
2,33001_sessie3_taskrobotEngagement,32,2.671,1.250,3.809,1.040,2.142,nan,1,14,5,12,0
3,33002_sessie1_taskrobotEngagement,32,2.555,nan,2.709,2.571,1.145,nan,0,17,13,2,0
4,33002_sessie2_taskrobotEngagement,39,3.416,1.605,2.573,4.698,3.210,nan,4,10,14,11,0
5,33002_sessie3_taskrobotEngagement,21,4.836,nan,6.314,2.634,4.302,5.750,0,9,5,6,1
6,33003_sessie1_taskrobotEngagement,23,4.264,nan,5.052,1.720,3.780,nan,0,12,2,9,0
7,33003_sessie3_robotEngagement1,36,3.333,2.220,4.004,1.698,3.849,nan,5,16,6,9,0
8,33003_sessie3_taskrobotEngagement,27,3.453,3.176,4.091,2.651,3.616,nan,1,12,10,4,0
9,33004_sessie1_taskrobotEngagement,40,3.504,nan,4.506,2.085,3.877,nan,0,19,15,6,0
10,33004_sessie2_taskrobotEngagement,31,3.627,nan,4.881,2.620,1.723,nan,0,15,13,3,0
11,33004_sessie3_taskrobotEngagement,33,2.981,1.150,4.552,1.860,2.285,nan,2,13,10,8,0
12,33005_sessie1_taskrobotEngagement,26,3.405,nan,2.773,4.830,0.700,nan,0,14,10,2,0
13,33005_sessie2_taskrobotEngagement,38,3.546,4.034,4.680,3.232,1.193,nan,2,17,12,7,0
14,33005_sessie3_taskrobotEngagement,25,4.003,4.080,5.264,3.154,1.700,nan,1,11,11,2,0
15,33006_sessie1_taskrobotEngagement,28,4.166,nan,4.002,4.558,0.250,nan,0,12,15,1,0
16,33006_sessie2_taskrobotEngagement,14,6.834,nan,9.754,3.030,2.500,nan,0,8,5,1,0
17,33006_sessie3_taskrobotEngagement,21,4.514,nan,4.724,4.942,1.870,nan,0,13,6,2,0
18,33007_sessie1_taskrobotEngagement,27,3.972,nan,4.743,3.625,2.926,nan,0,14,4,9,0
19,33007_sessie2_taskrobotEngagement,16,5.212,nan,7.318,1.260,2.148,nan,0,10,3,3,0
20,33007_sessie3_taskrobotEngagement,21,5.434,nan,6.332,6.328,1.626,nan,0,10,7,4,0
21,33008_sessie1_taskrobotEngagement,26,3.271,nan,4.078,2.464,nan,nan,0,13,13,0,0
22,33008_sessie2_taskrobotEngagement,29,4.383,nan,4.292,5.460,2.251,nan,0,13,11,5,0
23,33008_sessie3_taskrobotEngagement,18,7.300,1.480,5.866,10.738,nan,nan,3,7,8,0,0
24,33010_sessie1_taskrobotEngagement,42,2.885,nan,2.957,2.519,3.303,nan,0,10,18,14,0
25,33010_sessie2_taskrobotEngagement,23,4.763,nan,7.074,2.735,2.466,nan,0,11,8,4,0
26,33010_sessie3_taskrobotEngagement,46,3.447,4.945,3.822,2.931,3.351,nan,2,16,15,13,0
27,33011_sessie2_robotEngagement1,48,2.500,0.430,3.213,2.188,1.717,nan,1,20,19,8,0
28,33011_sessie2_taskrobotEngagement,27,3.241,nan,3.346,3.250,3.122,nan,0,11,6,10,0
29,33011_sessie3_taskrobotEngagement,25,3.616,nan,3.563,3.221,3.976,nan,0,9,7,9,0
30,33013_sessie3_robotEngagement3,20,3.618,nan,5.538,0.961,2.797,nan,0,8,3,9,0
31,33013_sessie3_taskEngagement1,19,5.444,nan,14.798,1.590,2.617,nan,0,5,7,7,0
32,33013_sessie3_taskrobotEngagement,23,4.021,nan,8.187,1.320,2.491,nan,0,7,4,12,0
33,Proefpersoon22016_Sessie1,32,3.779,2.040,3.928,5.559,3.970,1.847,1,11,3,13,4
34,Proefpersoon22016_Sessie2,41,3.047,nan,3.062,3.403,2.733,2.915,0,11,13,14,3
35,Proefpersoon22016_Sessie3,25,4.877,nan,3.334,3.945,7.736,3.032,0,7,7,8,3
36,Proefpersoon22017_Sessie1,20,6.046,2.576,4.636,11.331,4.812,0.549,1,8,5,5,1
37,Proefpersoon22017_Sessie2,29,4.204,3.700,5.215,3.968,3.081,0.927,1,11,12,4,1
38,Proefpersoon22017_Sessie3,10,12.193,nan,20.131,2.358,7.973,0.618,0,5,2,2,1
39,Proefpersoon22018_Sessie1,10,12.193,nan,22.010,1.751,3.924,0.532,0,5,2,2,1
40,Proefpersoon22018_Sessie2,15,8.262,nan,11.272,5.522,nan,0.616,0,8,6,0,1
41,Proefpersoon22018_Sessie3,16,7.558,1.474,7.388,10.967,1.466,0.480,1,7,6,1,1
42,Proefpersoon22030_Sessie1,24,5.122,2.351,7.070,4.345,4.042,2.647,2,10,6,4,2
43,Proefpersoon22030_Sessie2_Poging2,31,3.998,2.326,5.104,5.110,3.144,1.805,1,11,7,6,6
44,Proefpersoon22030_Sessie3,26,4.728,nan,4.122,3.942,6.470,4.579,0,8,6,6,6
0,51007_sessie1_taskrobotEngagement,22,4.362,nan,6.036,3.599,2.193,0.228,0,10,8,3,1
1,51009_sessie1_taskrobotEngagement,20,5.642,nan,4.756,7.732,5.267,0.108,0,9,7,3,1
2,51010_sessie1_taskrobotEngagement,20,5.032,nan,3.557,6.808,5.522,0.390,0,5,8,5,2
3,51007_sessie2_taskrobotEngagement,27,4.240,nan,4.777,4.430,nan,2.938,0,11,10,0,6
4,51007_sessie3_taskrobotEngagement,27,4.695,7.110,7.008,2.634,2.914,1.069,5,8,7,5,2
5,51009_sessie2_taskrobotEngagement,21,4.630,3.241,7.290,3.845,1.140,2.159,5,9,2,3,2
6,51009_sessie3_taskrobotEngagement,37,4.248,3.628,3.114,4.465,2.437,6.914,8,11,7,3,8
7,51010_sessie2_taskrobotEngagement,8,13.525,nan,20.240,12.715,1.480,0.328,0,4,2,1,1
8,51010_sessie3_taskrobotEngagement,14,6.043,nan,9.190,3.663,nan,5.083,0,5,5,0,4
9,51011_sessie3_robotEngagement3,12,7.073,nan,5.047,14.571,nan,3.983,0,5,3,0,4
10,51011_sessie3_taskEngagement1,18,6.600,3.760,3.652,11.490,6.180,3.100,1,5,6,3,3
11,51011_sessie3_taskrobotEngagement,26,4.428,1.532,6.350,3.964,5.840,8.192,8,1,9,2,6
12,51013_sessie1_taskrobotEngagement,10,10.540,nan,14.096,10.809,5.620,0.158,0,4,4,1,1
13,51013_sessie2_taskrobotEngagement,16,6.827,nan,11.657,nan,4.830,1.664,0,7,0,4,5
14,51013_sessie3_taskrobotEngagement,9,10.893,nan,14.350,16.200,nan,2.130,0,3,3,0,3
15,51014_sessie1_taskrobotEngagement,34,3.828,2.380,6.232,2.338,2.305,3.018,1,12,9,6,6
16,51014_sessie2_taskrobotEngagement,39,3.644,5.079,3.902,3.364,3.113,1.812,8,13,5,8,5
17,51014_sessie3_taskrobotEngagement,29,4.686,9.172,4.660,2.110,nan,5.603,4,10,9,0,6
18,51015_sessie1_taskrobotEngagement,28,4.161,2.150,5.651,2.317,1.170,3.882,1,14,8,1,4
19,51015_sessie2_taskrobotEngagement,42,2.708,3.147,3.195,2.038,2.657,2.748,8,11,13,6,4
20,51015_sessie3_taskrobotEngagement,19,3.774,2.470,4.927,2.197,3.462,4.037,1,7,4,4,3
21,51016_sessie1_taskrobotEngagement,24,4.285,nan,4.811,4.171,3.130,3.640,0,10,9,2,3
22,51016_sessie3_taskEngagement1,18,5.256,1.240,2.853,3.837,7.755,16.935,1,6,7,2,2
23,51016_sessie3_taskrobotEngagement,28,3.695,nan,3.769,4.637,0.915,2.066,0,7,14,2,5
24,51017_sessie1_taskrobotEngagement,17,4.907,nan,4.450,5.187,5.755,nan,0,8,7,2,0
25,51017_sessie2_taskrobotEngagement,14,5.584,nan,6.434,5.355,1.000,nan,0,7,6,1,0
26,51017_sessie3_taskrobotEngagement,17,4.971,nan,5.401,5.630,1.285,nan,0,11,4,2,0
27,51019_sessie1_taskrobotEngagement,16,5.751,nan,7.099,4.019,nan,nan,0,9,7,0,0
28,51019_sessie2_taskrobotEngagement,18,6.201,1.130,3.163,6.410,nan,9.908,1,6,5,0,6
29,51019_sessie3_taskrobotEngagement,25,6.511,2.120,8.794,7.299,3.400,2.300,2,9,9,2,3
30,51020_sessie1_taskrobotEngagement,23,4.061,nan,6.211,1.699,1.760,nan,0,12,8,3,0
31,51020_sessie2_taskrobotEngagement,33,5.910,nan,5.662,6.142,nan,nan,0,16,17,0,0
32,51020_sessie3_taskrobotEngagement,17,5.945,nan,7.698,3.972,nan,nan,0,9,8,0,0
33,51021_sessie1_taskrobotEngagement,48,4.115,3.014,4.524,4.421,3.872,4.068,7,14,12,5,10
34,51021_sessie2_taskrobotEngagement,34,5.051,6.710,6.088,3.155,3.610,2.505,6,15,10,1,2
35,51021_sessie3_taskrobotEngagement,27,3.169,2.027,5.457,2.138,1.095,2.235,3,9,9,2,4
36,Proefpersoon11009_sessie1,31,3.814,1.290,3.712,5.347,2.560,3.065,2,10,10,5,4
37,Proefpersoon11009_sessie2,21,5.680,9.067,4.797,6.898,1.510,3.270,4,6,6,2,3
38,Proefpersoon11009_Sessie3,15,8.167,nan,11.371,0.940,3.215,5.930,0,9,2,2,2
39,Proefpersoon11012_sessie1,20,7.135,nan,9.801,2.337,1.270,nan,0,13,6,1,0
40,Proefpersoon11012_sessie2,30,4.327,4.640,6.112,3.669,1.260,2.312,1,12,10,1,6
41,Proefpersoon11012_Sessie3,5,25.646,nan,42.020,nan,1.085,nan,0,3,0,2,0
42,Proefpersoon11029_Sessie1,25,4.745,3.203,6.311,4.250,2.720,2.500,7,12,3,1,2
43,Proefpersoon11029_sessie2,21,5.667,1.360,5.928,6.318,3.750,6.847,1,8,5,3,4
44,Proefpersoon11029_sessie3,42,2.837,nan,3.448,1.972,3.276,2.773,0,9,13,14,6
